x,y
20.000000,79.159380
18.283055,79.621118
17.671778,79.360800
16.269780,80.058747
16.526741,78.905470
14.726482,79.788663
14.043183,79.263752
12.348211,79.579919
13.806363,79.877165
10.664836,79.546654
13.000076,78.204471
15.346609,78.850538
15.423209,78.457771
16.570077,78.716258
17.398337,78.429389
13.598230,78.056764
13.949798,77.716182
16.991531,77.929198
14.738384,77.653315
16.099794,77.459525
13.915007,77.524224
15.438163,76.999924
16.990005,76.596170
19.028305,78.422370
20.000000,78.548714
0,0
20.000000,80.429236
19.624933,80.505531
19.570001,80.136263
17.737697,80.125887
18.746624,79.711147
20.000000,79.749905
0,0
10.995041,78.526741
12.180056,78.206912
10.509804,78.903639
10.994736,78.527352
0,0
28.867933,70.000000
28.556039,70.172427
30.182345,70.069581
31.031052,70.397345
28.972305,70.884718
27.854734,70.426947
28.553902,70.970169
27.657588,71.131304
27.091173,70.463264
26.486000,70.358282
26.659953,70.968032
25.152361,70.065309
25.913787,70.874037
24.639963,70.992142
23.490043,70.000000
0,0
20.000000,79.749905
21.711757,79.802396
20.099794,79.452964
23.656672,79.181353
27.004807,79.943389
26.999924,79.944610
24.830091,80.346227
23.074693,80.103609
22.794842,80.504616
22.260166,79.971160
20.000000,80.429236
0,0
24.000000,77.623713
22.856794,78.253605
20.834974,78.113222
20.879835,77.438773
22.483253,77.614557
22.676432,77.237049
24.006409,77.623713
24.000000,77.623713
0,0
20.996719,78.204471
21.693141,78.612802
20.158389,78.480049
20.991531,78.205692
20.996719,78.204471
0,0
27.986572,78.838636
29.691615,78.907607
27.943236,78.838636
27.986572,78.838636
0,0
25.994965,70.970474
25.271077,71.097429
25.992523,70.970474
25.994965,70.970474
0,0
31.994812,80.077058
31.989929,80.076143
33.612573,80.219883
31.994812,80.077058
0,0
22.998703,70.266728
22.333715,70.334173
22.999924,70.266117
22.998703,70.266728
0,0
21.994965,70.587167
23.503777,70.796521
21.992523,70.587778
21.994965,70.587167
0,0
22.995041,70.338750
23.564813,70.621347
22.989853,70.338750
22.995041,70.338750
0,0
21.273823,70.000000
21.235065,70.012207
21.213397,70.000000
0,0
23.363394,70.000000
21.562524,70.322881
21.868315,70.000000
0,0
20.000000,78.548714
21.531395,78.747387
20.000000,79.159380
0,0
60.000000,76.044709
56.008240,75.183185
56.963760,74.669871
55.125963,74.226749
56.391241,74.008240
55.035019,74.157168
53.692531,73.792172
55.846189,73.646601
54.073701,73.346609
56.694896,73.245289
56.376287,73.739071
57.598840,73.631647
56.593576,73.880674
57.875029,73.765316
57.497520,74.192874
58.254978,73.999695
58.257420,73.999695
58.218662,74.543221
59.154955,74.418708
60.000000,74.766003
0,0
53.997406,70.737011
57.611048,70.712596
55.186084,71.899138
55.081102,72.577554
56.518807,73.150988
54.809796,73.256580
53.196307,73.150072
53.611048,72.889143
52.363775,72.714885
53.658656,72.641642
51.406119,71.832609
51.909972,71.455406
53.501183,71.543297
53.986114,70.740978
53.997406,70.737011
0,0
46.990158,80.173800
50.999924,80.548867
50.859846,80.950484
46.984970,80.173800
46.990158,80.173800
0,0
60.000000,80.800336
59.672541,80.790875
59.955138,80.395361
59.979858,80.398718
60.000000,80.403296
0,0
56.994888,80.440528
57.835050,80.091402
59.302358,80.315709
56.982376,80.442359
56.994888,80.440528
0,0
52.990005,80.149691
53.329671,80.390478
52.979934,80.149691
52.990005,80.149691
0,0
50.999924,79.907073
49.751736,79.968414
50.989548,79.906767
50.999924,79.907073
0,0
60.000000,70.067140
58.767376,70.427863
58.696269,70.003357
58.711528,70.000000
0,0
54.979782,80.939498
54.959945,80.939498
57.817350,80.760967
54.979782,80.939498
0,0
55.974670,80.074617
57.004654,80.347143
55.969787,80.074617
55.974670,80.074617
0,0
57.000076,81.384451
55.557488,81.200122
57.004959,81.384451
57.000076,81.384451
0,0
60.000000,80.978866
59.974975,80.977035
60.000000,80.977035
0,0
80.000000,72.041657
78.447547,72.386206
77.463645,72.207370
77.984894,71.826200
75.966125,71.885710
78.508583,70.904250
76.132448,71.161212
74.828717,72.830854
75.018845,72.189975
73.008621,71.396811
74.326085,70.590829
74.094759,70.000000
0,0
72.687572,70.000000
72.811170,70.870069
71.811093,71.464256
72.878614,72.693217
71.632563,72.900435
69.396201,72.947433
68.338750,71.586633
66.728923,71.106584
66.784771,70.000000
0,0
60.000000,74.766003
61.316548,75.307088
68.404974,76.212558
68.606699,76.955367
64.779736,76.329442
61.126421,76.287938
60.000000,76.044709
0,0
70.999924,73.110399
71.272450,73.430533
70.034943,73.395438
69.974823,73.013046
70.989853,73.110399
70.999924,73.110399
0,0
62.989853,80.685283
65.004654,81.172961
62.984970,80.686198
62.989853,80.685283
0,0
78.988937,72.997482
79.544976,72.713664
78.996262,72.999924
78.988937,72.997482
0,0
60.000000,80.977035
61.652247,81.096666
60.000000,80.978866
0,0
74.106355,72.998398
74.913558,73.033188
74.106050,72.999924
74.106355,72.998398
0,0
60.000000,80.403296
62.039826,80.858625
60.000000,80.800336
0,0
100.000000,76.474708
98.878157,76.485084
99.844968,76.042573
98.826581,76.259556
95.703059,75.826200
96.126650,76.117037
93.273518,76.104524
92.836500,75.878691
94.115206,75.916838
86.983139,75.134661
87.007553,74.601205
85.917449,74.852064
87.236744,73.834897
80.506294,73.557488
80.851148,72.428321
83.668879,71.640955
83.628595,70.000000
0,0
100.000000,79.825589
98.775006,80.072175
97.663233,79.845426
97.679713,80.166171
92.861524,79.557336
95.983215,78.977188
95.989929,78.977188
100.000000,78.909133
0,0
82.875410,70.000000
82.423743,70.170901
82.847333,70.958572
82.013886,70.555734
83.263600,71.721523
81.452354,71.719692
80.000000,72.041657
0,0
93.711757,79.999237
97.304952,80.220493
98.192111,80.651713
95.670405,81.280385
91.462272,80.258335
93.711452,80.000153
0,0
93.000076,79.687953
93.792935,79.921111
90.974899,80.063020
91.249866,79.684596
92.990005,79.688869
93.000076,79.687953
0,0
95.866636,76.997787
96.509957,77.190356
95.863279,76.997787
95.866636,76.997787
0,0
82.000153,75.178607
82.099947,75.514611
81.991608,75.180743
82.000153,75.178607
0,0
87.791867,70.000000
88.010376,70.060121
88.012818,70.060121
88.015869,70.000000
0,0
99.127794,72.346838
99.973144,72.261997
99.103075,72.340429
99.127794,72.346838
0,0
100.000000,74.322576
99.124437,74.414130
100.000000,74.525216
0,0
100.000000,71.527123
99.555962,71.445945
100.000000,71.553979
0,0
120.000000,72.952010
119.847715,72.957504
118.406043,73.225147
118.879988,73.530327
115.687190,73.705501
113.514611,73.202564
112.845045,73.987182
112.307622,73.689631
111.572442,74.052186
110.022431,74.006104
109.690089,73.673762
111.034714,73.687800
106.339818,73.189441
105.499657,72.744488
107.017319,73.631952
113.578393,75.212482
112.348211,75.839933
113.583276,75.531090
113.934844,75.835050
111.093309,76.765240
106.533303,76.499428
107.544976,76.914168
104.166629,77.082933
106.345006,77.365835
104.146792,77.716182
101.355001,77.089036
101.128252,76.464027
100.000000,76.474708
0,0
100.325017,77.995117
105.471275,78.492561
103.886473,79.170367
102.467689,78.812390
102.476234,79.414511
100.316472,77.992981
100.325017,77.995117
0,0
111.989929,74.358892
112.857557,74.077821
113.498741,74.391547
112.000000,74.358892
111.989929,74.358892
0,0
100.000000,78.909133
100.004883,78.909133
100.111696,79.803311
100.000000,79.825589
0,0
100.000000,74.525216
100.571298,74.597848
100.028687,75.154192
101.365682,74.622873
104.182803,74.785229
104.199588,75.130694
105.793545,74.832837
102.792096,74.477913
102.785992,74.478218
101.987640,74.209354
100.580453,74.428779
100.921035,73.837949
100.631418,74.256657
100.000000,74.322576
0,0
100.000000,71.553979
105.044327,72.783551
105.068742,72.764324
102.129244,71.945830
102.984665,71.528954
102.028840,71.898528
100.000000,71.527123
0,0
140.000000,71.440146
138.114900,71.570459
137.862516,71.100481
136.022278,71.626917
133.817655,71.414511
132.780041,71.951324
131.044785,70.702831
128.306096,72.080720
129.556115,72.212558
128.442817,72.518044
129.451133,72.651713
128.816052,73.200122
126.281224,73.259327
124.437324,73.801328
122.842451,72.852522
120.000000,72.952010
0,0
140.000000,75.788968
138.783246,76.202182
136.988174,75.585107
137.993744,74.846571
137.993744,74.845045
140.000000,74.862440
0,0
136.000000,75.401083
135.833371,75.857023
135.986572,75.398032
136.000000,75.401083
0,0
137.016251,71.515831
137.991302,71.517662
137.016251,71.524987
137.016251,71.515831
0,0
140.000000,72.384985
139.123827,72.252537
140.000000,72.273594
0,0
140.000000,72.202792
139.306020,71.942473
140.000000,71.505760
0,0
140.000000,73.449760
139.793698,73.403983
140.000000,73.391165
0,0
125.309834,70.000000
125.749905,70.461433
127.548333,70.804150
127.296254,71.401389
127.614862,70.805066
125.842374,70.453803
125.408408,70.000000
0,0
123.747616,72.076448
122.480201,71.035172
123.659724,72.030976
120.587778,72.870832
123.747616,72.076448
0,0
160.000000,70.040589
158.924849,70.890517
155.922484,71.088579
152.531319,70.815137
148.828870,71.689174
150.063630,71.929046
148.367437,72.331273
147.114977,72.315404
145.347677,71.554589
145.498741,72.248264
145.982452,71.862821
146.943771,72.317540
144.244755,72.248569
146.862593,72.363012
140.889906,72.872053
141.301289,72.581827
140.000000,72.384985
0,0
140.000000,74.862440
143.587396,74.893874
142.403296,75.733730
143.403067,75.043717
145.408408,75.491722
141.380026,76.176242
140.570077,75.595483
140.000000,75.788968
0,0
147.146105,74.999161
149.035172,74.740368
150.984970,75.130694
146.483253,75.586328
147.145495,75.000076
147.146105,74.999161
0,0
140.000000,73.391165
142.995041,73.203784
142.999924,73.203784
143.523919,73.463188
142.070039,73.908751
140.000000,73.449760
0,0
141.000076,73.981079
140.299992,74.237125
140.998550,73.980774
141.000076,73.981079
0,0
140.000000,72.273594
140.201114,72.278172
140.000000,72.202792
0,0
140.000000,71.505760
140.117189,71.432212
140.000000,71.440146
0,0
147.417411,70.000000
147.411307,70.341192
150.000153,71.220417
150.023651,71.207599
147.469291,70.253605
147.462272,70.000000
0,0
180.000000,71.398642
178.996262,70.818189
178.997482,70.818799
180.000000,70.937209
0,0
171.452201,70.000000
170.549783,70.119631
170.461280,70.000000
0,0
180.000000,70.937209
-179.999695,70.937209
-177.406271,71.244221
-179.689937,71.577783
-179.999695,71.398642
180.000000,71.398642
0,0
-160.000000,70.473945
-160.127565,70.607004
-161.925078,70.294499
-162.382544,70.000000
0,0
-162.526284,70.090944
-162.097505,70.267948
